Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
49,"1319,1325,1331",1184372627.8546486,0.9135943251210982,"173518473.1404322,271963008.3952807,738891146.3189355"
50,"1319,1325,1334",1522632150.7332237,1.0545287277084945,"345011584.1510304,710659063.7630776,466961502.8191156"
51,"1319,1325,1337",1280022797.1614623,0.9091322759152061,"324897292.34800994,790754844.6137704,164370660.1996821"
52,"1319,1325,1338",1300844287.3352475,0.9235208449433683,"366892326.6464658,774076032.7107577,159875927.97802413"
53,"1319,1325,1336",1201751462.1682699,0.7567989115897369,"347350013.0447973,805669326.88082,48732122.24265258"
54,"1319,1325,1538",969672371.8435519,0.9991699574237782,"134162908.64241122,422139234.72090197,413370228.48023874"
55,"1319,1327,1329",1492386802.8335571,0.8462644653949825,"418708461.18137157,953072478.7556078,120605862.89657794"
56,"1319,1327,1330",1454681321.316706,0.6657360629309412,"410069264.9018036,1023495821.2030921,21116235.2118104"
57,"1319,1327,1331",1239751584.9958422,0.9354299458618791,"172643852.7634655,329154754.030098,737952978.2022787"
58,"1319,1327,1334",1575587484.4609048,1.0044853648331833,"391396639.7121912,855527414.5335351,328663430.2151785"
59,"1319,1327,1337",1473480366.0461628,0.8481771662410968,"413799571.430569,939393132.2395501,120287662.37604374"
60,"1319,1327,1338",1473365739.3054793,0.8498425965840803,"457846225.14268374,909848548.9907275,105670965.17206793"
61,"1319,1327,1336",1452620375.744821,0.7434813639742115,"456588671.4199825,953505164.0830063,42526540.24183237"
62,"1319,1327,1538",1029663773.1031971,1.0114769712714016,"154647878.9802102,454051114.53280145,420964779.59018534"
63,"1319,1329,1330",929222069.1163987,0.5669439387609138,"743068176.1949111,167132277.69565427,19021615.225833323"
64,"1319,1329,1331",1154979828.8338466,0.6799697590184901,"205537930.04603058,67889367.78219222,881552531.0056237"
65,"1319,1329,1334",1427409273.7512715,0.8979609092649605,"589787090.8748014,103875613.5756804,733746569.3007897"
66,"1319,1329,1337",952235875.7891235,0.873115140635744,"627000001.1536078,133024815.18056765,192211059.4549481"
67,"1319,1329,1338",1197299110.6842592,0.9707933041861565,"665503061.2218807,179327063.68498406,352468985.7773944"
68,"1319,1329,1336",884835059.18425,0.667831065076429,"684209949.301717,146205812.20443636,54419297.6780966"
69,"1319,1329,1538",759789082.3160864,0.8847524553962072,"168499801.3915221,100916336.22116023,490372944.70340407"
70,"1319,1330,1331",1132232970.3641784,0.5824317685816975,"231080346.8674535,17552747.51786499,883599875.9788599"
71,"1319,1330,1334",1392125009.9747944,0.7540378545475045,"663286843.5745428,18523310.744574796,710314855.6556767"
72,"1319,1330,1337",919284038.985301,0.6842516586896695,"646158298.6318543,19297063.785971906,253828676.56747484"
73,"1319,1330,1338",1027757609.8637667,0.7175264930636864,"677312780.6673594,20451437.36552835,329993391.8308789"
74,"1319,1330,1336",765226364.9838841,0.3681240672538264,"692822912.893499,19430991.150658783,52972460.93972632"
75,"1319,1330,1538",713455496.911082,0.6867445813527318,"185071978.4899601,18915316.144603208,509468202.27651864"
76,"1319,1331,1334",1246015699.0823972,0.907316773058284,"233144906.32800043,792981595.9849682,219889196.76942855"
77,"1319,1331,1337",1156159743.6010742,0.6898322572511298,"198864149.84996766,880729624.1158314,76565969.63527524"
78,"1319,1331,1338",1145404986.7614062,0.6878416459644776,"208980436.59513646,868470218.3570741,67954331.80919555"
79,"1319,1331,1336",1126204149.4101107,0.6149194030163355,"201793158.79148751,884955715.5360423,39455275.082580715"
