,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
hypoxanthine,-0.9999233052286267,-0.9999801709226416,-0.9999411773732373,-0.9937817852907989,-0.6793584136213333,-0.4663040838006107,-0.9999984231350013,-0.7555941864450066,0.12212106953191793,-0.9678265711499817,-0.9976625127028768,0.12348481026750346,-0.8602703806918798,1.0329321202471098,0.046688916418793136
inosine,-0.9999549435378561,-0.9999873936501412,0.44534840740739323,-0.999287274037919,-0.9962093452747995,-0.9975412869504807,-0.9999944664148873,-0.9966782921355858,0.44597577123323506,0.17477423029109196,0.3396272186139835,-0.9994715161943656,-0.9982929434256962,-0.9973503401328672,-0.998953454632592
thymine,0.4855483091852042,-0.9965210374864808,0.04153546045032752,0.19603579745641242,-0.7262848764173178,0.08582769556212533,-0.9900969305520435,0.35585786385821105,0.27642138494260093,-0.09195424678192787,-0.9961409166548281,-0.9833139792455605,0.8269635817854826,0.30431522527996124,0.6006336562495136
uracil,-0.664099476643806,-0.9998278283281329,-0.9958014398430641,-0.9956479439543365,-0.45701047668622874,0.599843578744018,-0.9987531003128439,0.2582531083374864,-0.02056787058657883,-0.173164562877407,-0.9992460424173164,-0.9987961467593439,-0.14728996847687248,0.1431900145179934,-0.27551844906912826
uridine,-0.9987861228778149,-0.9990565917503175,0.5844636114401385,-0.9992782906537251,-0.998040497876888,-0.9989343623741764,-0.9999968907871352,-0.9966633856625682,0.41002714496641923,-0.18413072854974055,0.10203593241898434,-0.9996464479633338,-0.9960407292632272,-0.998949715776165,-0.9960707878587345
xanthine,-0.9986534341823731,-0.9995855366581984,-0.9998242648578509,-0.1444199574606101,-0.6044565289465139,0.31552337902718497,-0.9974853428672014,-0.575205318546722,0.413050296132466,0.2654060112526029,0.1434280148607825,-0.04920113753029964,0.013117685618192931,-0.09269694267656714,0.12456844053295635
xanthosine,-0.9999942268217896,-0.9999942268217896,0.1921947364137444,-0.047915129564140235,0.023401647153846294,0.032836960137458515,-0.9999942268217896,0.13989684895422205,0.9398971641036569,0.042235198635548254,0.5092635102113354,-0.9999943477229943,-0.964316256270528,-0.12334733935914866,-0.9983545393030078
5-methyluridine,-0.9999669919385602,-0.9997386163948613,-0.1270445388481054,-0.9998293570190734,-0.9987446506065207,-0.2513384148189258,-0.999998390341411,-0.5346102406561215,0.31646764293146057,0.4260249151905229,0.03436552389932879,-0.9998009127335449,-0.998519959210727,-0.9996086452645988,-0.9993150572721461
gamma-Aminobutyric acid,0.004764783163017761,-0.9981685898638984,-0.9997785583973565,-0.16766025633761317,-0.3799038293521101,-0.03460952516551574,-0.5877306962987892,-0.14149307050055504,-0.11185824383745513,-0.994163123897863,-0.9995146040535726,-0.9621334705310597,-0.023733525749600526,-0.09787256080019147,-0.27183994447279936
ectoine,-0.08549791651932659,-0.9826514674604048,-0.09021270749439991,-0.5438410826449049,-0.5192190711044403,-0.6226381813905012,-0.9999801729060613,-0.08524687038461654,0.24324812066441104,-0.3450631493090659,-0.14463085167636647,-0.02459904652338607,0.04037990394121316,-0.1753698993901167,-0.02968699403656805
